sequenceID	source.name	species	subtype	genotype
AB298426	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB298427	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB298428	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB298429	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB298430	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB298431	ncbi-nuccore-hmpv	HMPV	A	-
AB298432	ncbi-nuccore-hmpv	HMPV	A	-
AB298433	ncbi-nuccore-hmpv	HMPV	A	-
AB298434	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB298435	ncbi-nuccore-hmpv	HMPV	A	-
AB298436	ncbi-nuccore-hmpv	HMPV	B	B1
AB298437	ncbi-nuccore-hmpv	HMPV	A	-
AB302895	ncbi-nuccore-hmpv	HMPV	A	-
AB302935	ncbi-nuccore-hmpv	HMPV	A	-
AB302936	ncbi-nuccore-hmpv	HMPV	A	-
AB302937	ncbi-nuccore-hmpv	HMPV	A	-
AB302938	ncbi-nuccore-hmpv	HMPV	A	-
AB428742	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB428743	ncbi-nuccore-hmpv	HMPV	A	-
AB428744	ncbi-nuccore-hmpv	HMPV	B	B1
AB428745	ncbi-nuccore-hmpv	HMPV	B	B2
AB428746	ncbi-nuccore-hmpv	HMPV	A	-
AB428747	ncbi-nuccore-hmpv	HMPV	B	B2
AB428748	ncbi-nuccore-hmpv	HMPV	B	B2
AB428749	ncbi-nuccore-hmpv	HMPV	B	B2
AB428750	ncbi-nuccore-hmpv	HMPV	B	B2
AB428751	ncbi-nuccore-hmpv	HMPV	B	-
AB428752	ncbi-nuccore-hmpv	HMPV	B	B2
AB428753	ncbi-nuccore-hmpv	HMPV	B	B2
AB428754	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB474921	ncbi-nuccore-hmpv	HMPV	B	B2
AB474922	ncbi-nuccore-hmpv	HMPV	B	B2
AB474923	ncbi-nuccore-hmpv	HMPV	B	B2
AB474924	ncbi-nuccore-hmpv	HMPV	B	B2
AB474925	ncbi-nuccore-hmpv	HMPV	B	B2
AB474926	ncbi-nuccore-hmpv	HMPV	A	-
AB474927	ncbi-nuccore-hmpv	HMPV	B	B2
AB474928	ncbi-nuccore-hmpv	HMPV	A	-
AB474929	ncbi-nuccore-hmpv	HMPV	A	-
AB474930	ncbi-nuccore-hmpv	HMPV	B	B2
AB474931	ncbi-nuccore-hmpv	HMPV	B	B2
AB474932	ncbi-nuccore-hmpv	HMPV	A	-
AB474933	ncbi-nuccore-hmpv	HMPV	A	-
AB474934	ncbi-nuccore-hmpv	HMPV	A	-
AB474935	ncbi-nuccore-hmpv	HMPV	A	-
AB474936	ncbi-nuccore-hmpv	HMPV	A	-
AB474937	ncbi-nuccore-hmpv	HMPV	A	-
AB474938	ncbi-nuccore-hmpv	HMPV	A	-
AB474939	ncbi-nuccore-hmpv	HMPV	A	-
AB474940	ncbi-nuccore-hmpv	HMPV	A	-
AB474941	ncbi-nuccore-hmpv	HMPV	B	B2
AB474942	ncbi-nuccore-hmpv	HMPV	B	B2
AB474943	ncbi-nuccore-hmpv	HMPV	B	B2
AB474944	ncbi-nuccore-hmpv	HMPV	A	-
AB474945	ncbi-nuccore-hmpv	HMPV	A	-
AB474946	ncbi-nuccore-hmpv	HMPV	A	-
AB474947	ncbi-nuccore-hmpv	HMPV	A	-
AB503857	ncbi-nuccore-hmpv	HMPV	A	A2a
AB514451	ncbi-nuccore-hmpv	HMPV	A	A2a
AB514452	ncbi-nuccore-hmpv	HMPV	A	-
AB518311	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518312	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518313	ncbi-nuccore-hmpv	HMPV	A	-
AB518314	ncbi-nuccore-hmpv	HMPV	A	-
AB518315	ncbi-nuccore-hmpv	HMPV	A	-
AB518316	ncbi-nuccore-hmpv	HMPV	A	-
AB518317	ncbi-nuccore-hmpv	HMPV	A	-
AB518318	ncbi-nuccore-hmpv	HMPV	A	-
AB518319	ncbi-nuccore-hmpv	HMPV	A	-
AB518320	ncbi-nuccore-hmpv	HMPV	A	-
AB518321	ncbi-nuccore-hmpv	HMPV	A	-
AB518322	ncbi-nuccore-hmpv	HMPV	A	-
AB518323	ncbi-nuccore-hmpv	HMPV	A	-
AB518324	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518325	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518326	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518327	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518328	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518329	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518330	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518331	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518332	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518333	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518334	ncbi-nuccore-hmpv	HMPV	A	-
AB518335	ncbi-nuccore-hmpv	HMPV	A	-
AB518336	ncbi-nuccore-hmpv	HMPV	A	-
AB518337	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518338	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518339	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518340	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518341	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518342	ncbi-nuccore-hmpv	HMPV	A	-
AB518343	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518344	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518345	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518346	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518347	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518348	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518349	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518350	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518351	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB518352	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518353	ncbi-nuccore-hmpv	HMPV	A	-
AB518354	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518355	ncbi-nuccore-hmpv	HMPV	A	-
AB518356	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518357	ncbi-nuccore-hmpv	HMPV	A	-
AB518358	ncbi-nuccore-hmpv	HMPV	A	-
AB518359	ncbi-nuccore-hmpv	HMPV	A	-
AB518360	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518361	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518362	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518363	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518364	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518365	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518366	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518367	ncbi-nuccore-hmpv	HMPV	A	-
AB518368	ncbi-nuccore-hmpv	HMPV	A	-
AB518369	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518370	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518371	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518372	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518373	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518374	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518375	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518376	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518377	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518378	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518379	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518380	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518381	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518382	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518383	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518384	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518385	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518386	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518387	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518388	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518389	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518390	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518391	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518392	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518393	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518394	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518395	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518396	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518397	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518398	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518399	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518400	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518401	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518402	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518403	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518404	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518405	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518406	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518407	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518408	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518409	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518410	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518411	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518412	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518413	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518414	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518415	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518416	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518417	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518418	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518419	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518420	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518421	ncbi-nuccore-hmpv	HMPV	A	-
AB518422	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518423	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518424	ncbi-nuccore-hmpv	HMPV	A	A2a
AB518425	ncbi-nuccore-hmpv	HMPV	B	B2
AB518426	ncbi-nuccore-hmpv	HMPV	B	B2
AB518427	ncbi-nuccore-hmpv	HMPV	B	B2
AB518428	ncbi-nuccore-hmpv	HMPV	B	B2
AB518429	ncbi-nuccore-hmpv	HMPV	B	B2
AB518430	ncbi-nuccore-hmpv	HMPV	B	B2
AB518431	ncbi-nuccore-hmpv	HMPV	B	B2
AB518432	ncbi-nuccore-hmpv	HMPV	B	B2
AB518433	ncbi-nuccore-hmpv	HMPV	B	B2
AB518434	ncbi-nuccore-hmpv	HMPV	B	B2
AB518435	ncbi-nuccore-hmpv	HMPV	B	B2
AB518436	ncbi-nuccore-hmpv	HMPV	B	B2
AB518437	ncbi-nuccore-hmpv	HMPV	B	B2
AB518438	ncbi-nuccore-hmpv	HMPV	B	B2
AB518439	ncbi-nuccore-hmpv	HMPV	B	B2
AB518440	ncbi-nuccore-hmpv	HMPV	B	B2
AB518441	ncbi-nuccore-hmpv	HMPV	B	B2
AB518442	ncbi-nuccore-hmpv	HMPV	B	B2
AB518443	ncbi-nuccore-hmpv	HMPV	B	B2
AB518444	ncbi-nuccore-hmpv	HMPV	B	B2
AB518445	ncbi-nuccore-hmpv	HMPV	B	B2
AB518446	ncbi-nuccore-hmpv	HMPV	B	B2
AB518447	ncbi-nuccore-hmpv	HMPV	B	B2
AB518448	ncbi-nuccore-hmpv	HMPV	B	B2
AB518449	ncbi-nuccore-hmpv	HMPV	B	B2
AB518450	ncbi-nuccore-hmpv	HMPV	B	B2
AB518451	ncbi-nuccore-hmpv	HMPV	B	B2
AB518452	ncbi-nuccore-hmpv	HMPV	B	B2
AB518453	ncbi-nuccore-hmpv	HMPV	B	B2
AB518454	ncbi-nuccore-hmpv	HMPV	B	B2
AB518455	ncbi-nuccore-hmpv	HMPV	B	B2
AB518456	ncbi-nuccore-hmpv	HMPV	B	B2
AB518457	ncbi-nuccore-hmpv	HMPV	B	B2
AB518458	ncbi-nuccore-hmpv	HMPV	B	B2
AB518459	ncbi-nuccore-hmpv	HMPV	B	B2
AB518460	ncbi-nuccore-hmpv	HMPV	B	B2
AB518461	ncbi-nuccore-hmpv	HMPV	B	B2
AB518462	ncbi-nuccore-hmpv	HMPV	B	B2
AB518463	ncbi-nuccore-hmpv	HMPV	B	B2
AB518464	ncbi-nuccore-hmpv	HMPV	B	B2
AB518465	ncbi-nuccore-hmpv	HMPV	B	B2
AB518466	ncbi-nuccore-hmpv	HMPV	B	B2
AB518467	ncbi-nuccore-hmpv	HMPV	B	B2
AB518468	ncbi-nuccore-hmpv	HMPV	B	B2
AB518469	ncbi-nuccore-hmpv	HMPV	B	B2
AB518470	ncbi-nuccore-hmpv	HMPV	B	B2
AB518471	ncbi-nuccore-hmpv	HMPV	B	B2
AB518472	ncbi-nuccore-hmpv	HMPV	B	B2
AB518473	ncbi-nuccore-hmpv	HMPV	B	B2
AB518474	ncbi-nuccore-hmpv	HMPV	B	B2
AB518475	ncbi-nuccore-hmpv	HMPV	B	B2
AB518476	ncbi-nuccore-hmpv	HMPV	B	B2
AB533235	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB533236	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB533237	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB533238	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB533239	ncbi-nuccore-hmpv	HMPV	A	-
AB533240	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB533241	ncbi-nuccore-hmpv	HMPV	A	-
AB533242	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB533243	ncbi-nuccore-hmpv	HMPV	B	B2
AB533244	ncbi-nuccore-hmpv	HMPV	B	B1
AB533245	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB533246	ncbi-nuccore-hmpv	HMPV	A	-
AB533247	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB533248	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB533249	ncbi-nuccore-hmpv	HMPV	B	B1
AB533250	ncbi-nuccore-hmpv	HMPV	B	B1
AB533251	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB533252	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB548217	ncbi-nuccore-hmpv	HMPV	B	B2
AB548218	ncbi-nuccore-hmpv	HMPV	B	B2
AB548219	ncbi-nuccore-hmpv	HMPV	B	B2
AB548220	ncbi-nuccore-hmpv	HMPV	B	B2
AB548221	ncbi-nuccore-hmpv	HMPV	B	B2
AB548222	ncbi-nuccore-hmpv	HMPV	B	B2
AB548223	ncbi-nuccore-hmpv	HMPV	B	B2
AB548224	ncbi-nuccore-hmpv	HMPV	B	B2
AB548225	ncbi-nuccore-hmpv	HMPV	B	B2
AB548226	ncbi-nuccore-hmpv	HMPV	B	B2
AB548227	ncbi-nuccore-hmpv	HMPV	B	B2
AB548228	ncbi-nuccore-hmpv	HMPV	B	B2
AB548229	ncbi-nuccore-hmpv	HMPV	B	B2
AB548230	ncbi-nuccore-hmpv	HMPV	A	A2b1
AB548231	ncbi-nuccore-hmpv	HMPV	B	B2
AB548232	ncbi-nuccore-hmpv	HMPV	B	B2
AB548233	ncbi-nuccore-hmpv	HMPV	B	B2
AB548234	ncbi-nuccore-hmpv	HMPV	B	B2
AB548235	ncbi-nuccore-hmpv	HMPV	B	B2
AB548236	ncbi-nuccore-hmpv	HMPV	B	B2
AB548237	ncbi-nuccore-hmpv	HMPV	B	B2
AB548238	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB548239	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB548240	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB548241	ncbi-nuccore-hmpv	HMPV	B	B2
AB548242	ncbi-nuccore-hmpv	HMPV	B	B2
AB548243	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB548244	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB548245	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB548246	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB548247	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB548248	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB548249	ncbi-nuccore-hmpv	HMPV	B	B2
AB565438	ncbi-nuccore-hmpv	HMPV	B	-
AB565439	ncbi-nuccore-hmpv	HMPV	B	B1
AB594726	ncbi-nuccore-hmpv	HMPV	B	B2
AB594727	ncbi-nuccore-hmpv	HMPV	B	B1
AB594728	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB594729	ncbi-nuccore-hmpv	HMPV	B	B1
AB594730	ncbi-nuccore-hmpv	HMPV	B	B2
AB594731	ncbi-nuccore-hmpv	HMPV	B	B2
AB594732	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB594733	ncbi-nuccore-hmpv	HMPV	B	B2
AB594734	ncbi-nuccore-hmpv	HMPV	A	A2b2
AB594735	ncbi-nuccore-hmpv	HMPV	B	B2
AB594736	ncbi-nuccore-hmpv	HMPV	B	B2
AB594737	ncbi-nuccore-hmpv	HMPV	B	B2
